Amount (RM),Date,Company Name
487.49,13/5/2025,DFCITY GROUP BERHAD
186.97,26/8/2024,LFE CORPORATION BHD
81.84,13/4/2025,MOBILIA HOLDINGS BERHAD
191.15,30/3/2025,NESTLE (M) BHD
329.61,26/5/2025,ISKANDAR WATERFRONT CITY BERHAD
177.65,8/2/2025,KOTRA INDUSTRIES BHD
261.05,11/2/2025,SAPURA INDUSTRIAL BHD
438.81,5/5/2025,HEINEKEN MALAYSIA BERHAD
410.89,30/10/2024,HEXTAR RETAIL BERHAD
6.5,1/1/2025,SENTRAL REIT
57.22,23/4/2025,TDM BHD
63.51,2/9/2024,MALAYSIAN RESOURCES CORPORATION BERHAD
103.52,1/8/2025,MICROLINK SOLUTIONS BHD
386.33,16/10/2024,MST GOLF GROUP BERHAD
127.72,18/6/2025,ASTRO MALAYSIA HOLDINGS BERHAD
76.47,24/7/2025,POS MALAYSIA BHD
183.09,20/12/2024,KEIN HING INTERNATIONAL BHD
410.46,7/8/2024,EG INDUSTRIES BHD
54.18,30/12/2024,CWG HOLDINGS BERHAD
490.52,15/5/2025,JKG LAND BERHAD
102.45,27/1/2025,PLENITUDE BHD
76.78,16/11/2024,KPS CONSORTIUM BHD
67.52,2/1/2025,CYBERJAYA EDUCATION GROUP BERHAD
291.07,12/10/2024,SALUTICA BERHAD
212.08,16/10/2024,FAJARBARU BUILDER GRP BHD
71.46,19/11/2024,WCE HOLDINGS BERHAD
181.73,4/12/2024,CME GROUP BHD
332.69,9/4/2025,HONG LEONG BANK BHD
342.59,10/6/2025,MYCRON STEEL BHD
358.21,28/1/2025,AHMAD ZAKI RESOURCES BHD
238.07,17/10/2024,TSH RESOURCES BHD
210.44,3/11/2024,DIALOG GROUP BHD
13.44,29/8/2024,KLCC PROP&REITS-STAPLED SEC
218.61,2/9/2024,PHARMANIAGA BHD
466.87,27/5/2025,POS MALAYSIA BHD
150.29,22/4/2025,PANASONIC MANUFACTURING MSIA
145.6,10/1/2025,UCHI TECHNOLOGIES BHD
337.57,5/8/2024,LBS BINA GROUP BHD
353.09,12/3/2025,SUBUR TIASA HOLDINGS BHD
294.32,8/2/2025,COMFORT GLOVES BERHAD
458.93,3/6/2025,GREATECH TECHNOLOGY BERHAD
477.82,23/11/2024,WCE HOLDINGS BERHAD
129.2,11/6/2025,INARI AMERTRON BERHAD
35.16,2/5/2025,GEORGE KENT (M) BHD
468.37,23/7/2025,REVENUE GROUP BERHAD
122.5,3/1/2025,TA WIN HOLDINGS BHD
370.35,22/4/2025,NTPM HOLDINGS BHD
135.0,31/5/2025,JAYA TIASA HOLDINGS BHD
127.56,16/3/2025,KOSSAN RUBBER INDUSTRIES BHD
237.48,23/1/2025,MALAYSIA STEEL WORKS (KL)BHD
307.3,27/8/2024,SIME DARBY PROPERTY BERHAD
477.17,21/12/2024,JIANKUN INTERNATIONAL BERHAD
247.7,6/8/2024,SEREMBAN ENGINEERING BERHAD
166.64,30/8/2024,VELOCITY CAPITAL PARTNER BERHAD
436.45,21/8/2024,CHOO BEE METAL INDUSTRIES BHD
488.39,20/12/2024,SINMAH CAPITAL BERHAD
274.24,31/10/2024,GEORGE KENT (M) BHD
398.24,29/3/2025,GAMUDA BHD
202.62,30/5/2025,UMS-NEIKEN GROUP BHD
479.86,4/9/2024,DELEUM BHD
347.75,28/4/2025,PANASONIC MANUFACTURING MSIA
226.35,3/6/2025,KAWAN FOOD BHD
24.7,25/9/2024,TELEKOM MALAYSIA BHD
292.3,11/10/2024,OPTIMAX HOLDINGS BERHAD
185.69,25/3/2025,ECO WORLD INTERNATIONAL BERHAD
301.42,2/12/2024,SHANGRI-LA HOTELS (M) BHD
406.53,2/12/2024,SD GUTHRIE BERHAD
11.55,13/11/2024,PHARMANIAGA BHD
45.56,6/12/2024,Y.S.P.SOUTHEAST ASIA HOLDING
142.85,29/10/2024,RHONG KHEN INTERNATIONAL BERHAD
221.67,15/7/2025,PETRONAS DAGANGAN BHD
284.43,12/7/2025,SEREMBAN ENGINEERING BERHAD
351.06,1/1/2025,PINEHILL PACIFIC BERHAD
96.84,18/4/2025,ECO WORLD DEVELOPMENT GROUP BERHAD
321.18,6/8/2024,CAHYA MATA SARAWAK BHD
197.45,11/9/2024,SENTRAL REIT
204.39,30/9/2024,SUNWAY CONSTRUCTION GROUP BERHAD
375.66,22/9/2024,WCT HOLDINGS BERHAD
185.08,16/12/2024,HONG LEONG FINANCIAL GROUP BHD
20.19,24/3/2025,SMIS CORPORATION BHD
124.07,17/6/2025,SUNWAY CONSTRUCTION GROUP BERHAD
57.53,19/12/2024,IGB BERHAD
1.37,13/3/2025,KOTRA INDUSTRIES BHD
53.66,6/8/2024,KENANGA INVESTMENT BANK BERHAD
438.96,8/11/2024,ECOMATE HOLDINGS BERHAD
354.92,29/6/2025,AEON CREDIT SERVICE (M) BHD
309.64,25/11/2024,BP PLASTICS HOLDING BHD
66.85,19/11/2024,TIME DOTCOM BHD
2.22,21/8/2024,VERSATILE CREATIVE BHD
