Amount (RM),Date,Company Name
13.68,2/9/2024,APM AUTOMOTIVE HOLDINGS BHD
186.94,13/8/2024,MAJUPERAK HOLDINGS BHD
340.54,28/1/2025,BATU KAWAN BHD
283.01,26/5/2025,SNS NETWORK TECHNOLOGY BERHAD
112.66,16/9/2024,KSL HOLDINGS BHD
254.07,25/4/2025,PLENITUDE BHD
392.28,7/10/2024,AMWAY (M) HOLDINGS BHD
127.25,13/10/2024,COUNTRY VIEW BHD
240.27,17/2/2025,TA WIN HOLDINGS BHD
404.47,18/3/2025,UNITED PLANTATIONS BHD
376.71,13/6/2025,IDEAL CAPITAL BERHAD
287.28,15/7/2025,TOMYPAK HOLDINGS BHD
343.45,27/12/2024,METROD HOLDINGS BERHAD
351.93,7/12/2024,BENALEC HOLDINGS BERHAD
11.81,22/8/2024,KUMPULAN KITACON BERHAD
398.41,22/3/2025,KUALA LUMPUR KEPONG BHD
66.75,24/5/2025,MAGNA PRIMA BHD
391.94,30/5/2025,TDM BHD
490.92,18/1/2025,ICAPITAL.BIZ BHD
274.88,8/7/2025,EDEN INC. BHD
267.44,8/11/2024,PMB TECHNOLOGY BHD
62.95,14/4/2025,KOTRA INDUSTRIES BHD
146.74,3/9/2024,SHH RESOURCES HOLDINGS BHD
280.74,8/2/2025,CHEETAH HOLDINGS BHD
137.45,22/6/2025,LIANSON FLEET GROUP BERHAD
79.24,28/6/2025,ELSOFT RESEARCH BHD
251.21,29/5/2025,ATRIUM REITS
6.31,4/7/2025,FARLIM GROUP (M) BHD
28.15,25/3/2025,BRITISH AMERICAN TOBACCO (M)
371.7,8/12/2024,CENTRAL GLOBAL BERHAD
443.94,31/1/2025,PTT SYNERGY GROUP BERHAD
321.35,9/10/2024,PEGASUS HEIGHTS BERHAD
350.45,11/2/2025,CHUAN HUAT RESOURCES BHD
367.51,7/11/2024,GIIB HOLDINGS BERHAD
147.76,19/6/2025,DAYANG ENTERPRISE HOLDINGS BHD
273.41,16/4/2025,NTPM HOLDINGS BHD
495.05,6/7/2025,MESINIAGA BHD
383.17,25/1/2025,MGB BERHAD
106.67,14/6/2025,ASTINO BHD
484.3,12/9/2024,HONG LEONG BANK BHD
96.19,4/8/2024,OCK GROUP BERHAD
105.62,30/5/2025,FIMA CORPORATION BHD
298.43,7/2/2025,LFE CORPORATION BHD
337.67,23/1/2025,APOLLO FOOD HOLDINGS BHD
358.44,7/12/2024,EG INDUSTRIES BHD
116.09,25/12/2024,ENGTEX GROUP BHD
467.16,13/5/2025,QL RESOURCES BHD
412.33,19/12/2024,CAB CAKARAN CORPORATION BHD
110.07,12/1/2025,FACB INDUSTRIES INCORPORATED
378.81,29/6/2025,KUCHAI DEVELOPMENT BHD
414.12,6/4/2025,SOLARVEST HOLDINGS BERHAD
233.99,29/4/2025,PENTAMASTER CORPORATION BHD
47.33,20/7/2025,HEVEABOARD BHD
22.74,1/11/2024,HPMT HOLDINGS BERHAD
433.71,1/10/2024,ANALABS RESOURCES BHD
52.75,10/4/2025,EMICO HOLDINGS BHD
444.93,9/9/2024,PRG HOLDINGS BERHAD
83.94,12/7/2025,WHITE HORSE BHD
256.48,8/12/2024,JAKS RESOURCES BERHAD
315.55,11/6/2025,PERAK CORPORATION BHD
1.63,2/3/2025,PLENITUDE BHD
309.97,17/7/2025,HARTALEGA HOLDINGS BHD
282.6,30/4/2025,NOVA WELLNESS GROUP BERHAD
277.04,4/7/2025,KSL HOLDINGS BHD
115.46,13/4/2025,PHARMANIAGA BHD
8.91,2/2/2025,COUNTRY HEIGHTS HOLDINGS BHD
293.17,16/12/2024,OPENSYS (M) BHD
91.06,17/12/2024,SEACERA GROUP BERHAD
137.95,5/10/2024,CARIMIN PETROLEUM BERHAD
74.51,8/6/2025,CSC STEEL HOLDINGS BERHAD
428.23,10/7/2025,UMS-NEIKEN GROUP BHD
199.59,27/4/2025,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD
347.21,19/2/2025,DKSH HOLDINGS(M)BHD
419.98,29/12/2024,UNISEM (M) BHD
464.78,9/4/2025,MERCURY INDUSTRIES BHD
207.25,20/6/2025,ATLAN HOLDINGS BHD
151.28,27/9/2024,FAVELLE FAVCO BHD
483.13,27/8/2024,KUALA LUMPUR KEPONG BHD
425.54,19/9/2024,MBSB BERHAD
89.81,13/3/2025,A-RANK BHD
109.82,17/5/2025,GOPENG BHD
217.66,11/3/2025,SPORTS TOTO BERHAD
363.94,25/11/2024,EG INDUSTRIES BHD
267.75,18/6/2025,KOTRA INDUSTRIES BHD
141.33,10/12/2024,MPIRE GLOBAL BERHAD
213.0,9/2/2025,LAND & GENERAL BHD
228.55,13/12/2024,SPRITZER BHD
282.35,10/12/2024,INSAS BHD
22.13,20/3/2025,SAPURA INDUSTRIAL BHD
22.11,16/1/2025,T7 GLOBAL BERHAD
202.5,6/10/2024,EXCEL FORCE MSC BHD
484.18,21/5/2025,LION INDUSTRIES CORPORATION
370.77,31/8/2024,MALTON BHD
479.6,20/9/2024,KUALA LUMPUR KEPONG BHD
102.85,12/9/2024,PUBLIC BANK BHD
205.14,12/10/2024,AXIS REITS
121.24,20/6/2025,GADANG HOLDINGS BHD
31.9,17/7/2025,WCE HOLDINGS BERHAD
145.16,22/7/2025,LBI CAPITAL BHD
88.32,5/1/2025,99 Speed Mart Retail Holdings
